name,created_at,total_pulls,total_releases,updated_at,language,closed_issues_ratio
rustlings,2015-09-15T02:25:18Z,889,43,2024-08-25T20:05:54Z,Rust,0.97
scrapy,2010-02-22T02:01:14Z,2167,38,2024-08-25T20:42:34Z,Python,0.85
ChatGPT,2022-12-07T09:43:02Z,122,34,2024-08-25T20:46:46Z,Rust,0.33
awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,33,0,2024-08-25T19:36:08Z,,0.9
Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,48,0,2024-08-25T19:57:32Z,Python,0.82
requests,2011-02-13T18:38:17Z,1553,12,2024-08-25T21:00:33Z,Python,0.96
gpt-engineer,2023-04-29T12:52:15Z,342,20,2024-08-25T20:37:08Z,Python,0.98
open-interpreter,2023-07-14T07:10:44Z,330,40,2024-08-25T20:51:02Z,Python,0.81
git,2008-07-23T14:21:26Z,3,0,2024-08-25T21:01:40Z,C,0
AppFlowy,2021-06-16T12:56:48Z,2835,81,2024-08-25T20:42:41Z,Dart,0.69
Semantic-UI,2013-04-08T23:32:04Z,356,154,2024-08-25T06:16:48Z,JavaScript,0.85
ionic-framework,2013-08-20T23:06:02Z,5861,878,2024-08-25T17:42:52Z,TypeScript,0.98
material-design-icons,2014-10-08T18:01:28Z,47,16,2024-08-25T18:34:57Z,,0.78
faceswap,2017-12-19T09:44:13Z,357,4,2024-08-25T20:28:45Z,Python,0.98
tldr,2013-12-08T07:34:43Z,10907,5,2024-08-25T20:59:33Z,Markdown,0.88
ghidra,2019-03-01T03:27:48Z,445,38,2024-08-25T20:50:18Z,Java,0.71
awesome-android-ui,2014-12-24T01:45:03Z,90,0,2024-08-25T19:12:38Z,,0.88
leetcode-master,2019-12-14T12:05:42Z,2153,0,2024-08-25T19:11:02Z,Shell,0.26
guava,2014-05-29T16:23:17Z,641,46,2024-08-25T20:10:15Z,Java,0.82
you-get,2012-08-20T15:53:36Z,580,122,2024-08-25T17:27:32Z,Python,0
lazygit,2018-05-19T00:53:06Z,1367,152,2024-08-25T21:01:38Z,Go,0.66
traefik,2015-09-13T19:04:02Z,4223,428,2024-08-25T19:25:47Z,Go,0.9
anime,2016-03-13T21:37:45Z,72,15,2024-08-25T11:50:58Z,JavaScript,0.71
grok-1,2024-03-17T08:53:38Z,5,0,2024-08-25T21:07:40Z,Python,0.67
yolov5,2020-05-18T03:45:11Z,2133,10,2024-08-25T20:42:19Z,Python,0.99
